ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Updated At,Seconds to Label,External ID,Agreement,Benchmark Agreement,Benchmark ID,Benchmark Reference ID,Dataset Name,Reviews,View Label
ckfe1icyy00004c6344t2qnj0,ckfe0tso400y00bs4dp0x75kd,https://storage.labelbox.com/ckfdxmf8yrowg0736irqgqzy1%2F222c084d-303a-2df0-e43b-8830f35cd91e-4603.0_-214.4.png?Expires=1603700791913&KeyName=labelbox-assets-key-1&Signature=kpxwMax-ubo-ezxgwV_NkzksYHY,"{""objects"":[{""featureId"":""ckfe1hvni00v40y6n32kbdamo"",""schemaId"":""ckfe1bjhe0bjj0y7hackf12z7"",""title"":""crack"",""value"":""crack"",""color"":""#FFFF00"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckfe1hvni00v40y6n32kbdamo?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2ZkeG1mOWpmeTB5MDcwN3k2MzNwMW4zIiwib3JnYW5pemF0aW9uSWQiOiJja2ZkeG1mOHlyb3dnMDczNmlycWdxenkxIiwiaWF0IjoxNjAyNDkxMTkxLCJleHAiOjE2MDUwODMxOTF9.wdtrGiWNjjwCWMx7_c5jf55bz0U8yjQ43S1qlH5chSI""}],""classifications"":[]}",yuvkortev@stud.etu.ru,detect_cracks,1600784079000,1600784327000,302.585,4603.0_-214.4.png,-1,-1,,,cracks,[],https://editor.labelbox.com?project=ckfe132m2sn2f0736nanmt6qs&label=ckfe1icyy00004c6344t2qnj0
ckfe1mqhq00014c638c4cv902,ckfe0tso6011k0bs4fj7b3r8e,https://storage.labelbox.com/ckfdxmf8yrowg0736irqgqzy1%2F0b2a29e5-fd90-d57e-188e-7fdabb544b13-5503.0_-214.4.png?Expires=1603700791922&KeyName=labelbox-assets-key-1&Signature=uADR5CVaodR9N1jymqJxBkh8npA,"{""objects"":[{""featureId"":""ckfe1leg501go0y6n0kor9e2b"",""schemaId"":""ckfe1bjhe0bjj0y7hackf12z7"",""title"":""crack"",""value"":""crack"",""color"":""#FFFF00"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckfe1leg501go0y6n0kor9e2b?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2ZkeG1mOWpmeTB5MDcwN3k2MzNwMW4zIiwib3JnYW5pemF0aW9uSWQiOiJja2ZkeG1mOHlyb3dnMDczNmlycWdxenkxIiwiaWF0IjoxNjAyNDkxMTkxLCJleHAiOjE2MDUwODMxOTF9.wdtrGiWNjjwCWMx7_c5jf55bz0U8yjQ43S1qlH5chSI""},{""featureId"":""ckfe1m1jz01qm0y7h65px8j2m"",""schemaId"":""ckfe1bjhf0bjl0y7h5vk64k1v"",""title"":""gap"",""value"":""gap"",""color"":""#1CE6FF"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckfe1m1jz01qm0y7h65px8j2m?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2ZkeG1mOWpmeTB5MDcwN3k2MzNwMW4zIiwib3JnYW5pemF0aW9uSWQiOiJja2ZkeG1mOHlyb3dnMDczNmlycWdxenkxIiwiaWF0IjoxNjAyNDkxMTkxLCJleHAiOjE2MDUwODMxOTF9.wdtrGiWNjjwCWMx7_c5jf55bz0U8yjQ43S1qlH5chSI""}],""classifications"":[]}",yuvkortev@stud.etu.ru,detect_cracks,1600784283000,1600784543000,203.3,5503.0_-214.4.png,-1,-1,,,cracks,[],https://editor.labelbox.com?project=ckfe132m2sn2f0736nanmt6qs&label=ckfe1mqhq00014c638c4cv902
ckfe1tw2a00004c63vnbiem4c,ckfe0tsoa01540bs494xdf2s0,https://storage.labelbox.com/ckfdxmf8yrowg0736irqgqzy1%2F3bbca70c-3ac5-f2af-b3dc-0662f6331c02-6303.0_-214.4.png?Expires=1603700791923&KeyName=labelbox-assets-key-1&Signature=Z7a9VF3XpWTMuoQ6VkNuStiKI6o,"{""objects"":[{""featureId"":""ckfe1tl5100pv0y8h589kfugi"",""schemaId"":""ckfe1bjhe0bjj0y7hackf12z7"",""title"":""crack"",""value"":""crack"",""color"":""#FFFF00"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckfe1tl5100pv0y8h589kfugi?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2ZkeG1mOWpmeTB5MDcwN3k2MzNwMW4zIiwib3JnYW5pemF0aW9uSWQiOiJja2ZkeG1mOHlyb3dnMDczNmlycWdxenkxIiwiaWF0IjoxNjAyNDkxMTkxLCJleHAiOjE2MDUwODMxOTF9.wdtrGiWNjjwCWMx7_c5jf55bz0U8yjQ43S1qlH5chSI""}],""classifications"":[]}",yuvkortev@stud.etu.ru,detect_cracks,1600784618000,1600784769000,266.633,6303.0_-214.4.png,-1,-1,,,cracks,[],https://editor.labelbox.com?project=ckfe132m2sn2f0736nanmt6qs&label=ckfe1tw2a00004c63vnbiem4c
ckfe1w7ie00014c63hhdhmqbk,ckfe0tsoc018o0bs48l64fp1x,https://storage.labelbox.com/ckfdxmf8yrowg0736irqgqzy1%2F600c11b5-2391-552a-dc99-743f9f8f6ef3-7103.0_-214.4.png?Expires=1603700791924&KeyName=labelbox-assets-key-1&Signature=WaNrZjO7uMa2rN0m5Vw2h6ogLSQ,"{""objects"":[{""featureId"":""ckfe1vxro00vx0y6nbt5p6dk2"",""schemaId"":""ckfe1bjhe0bjj0y7hackf12z7"",""title"":""crack"",""value"":""crack"",""color"":""#FFFF00"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckfe1vxro00vx0y6nbt5p6dk2?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2ZkeG1mOWpmeTB5MDcwN3k2MzNwMW4zIiwib3JnYW5pemF0aW9uSWQiOiJja2ZkeG1mOHlyb3dnMDczNmlycWdxenkxIiwiaWF0IjoxNjAyNDkxMTkxLCJleHAiOjE2MDUwODMxOTF9.wdtrGiWNjjwCWMx7_c5jf55bz0U8yjQ43S1qlH5chSI""}],""classifications"":[]}",yuvkortev@stud.etu.ru,detect_cracks,1600784725000,1600784987000,148.184,7103.0_-214.4.png,-1,-1,,,cracks,[],https://editor.labelbox.com?project=ckfe132m2sn2f0736nanmt6qs&label=ckfe1w7ie00014c63hhdhmqbk
ckfe228n900024c63qjk4aydx,ckfe0tsod01c80bs4f8w51b4w,https://storage.labelbox.com/ckfdxmf8yrowg0736irqgqzy1%2F529daefb-efb0-530c-1135-8fa51f0d9c61-7903.0_-214.4.png?Expires=1603700791924&KeyName=labelbox-assets-key-1&Signature=ftVitPTcQlFHw2fZ0WgI0J4-Pc4,"{""objects"":[{""featureId"":""ckfe203l4023k0y7h81ft0rt9"",""schemaId"":""ckfe1bjhe0bjj0y7hackf12z7"",""title"":""crack"",""value"":""crack"",""color"":""#FFFF00"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckfe203l4023k0y7h81ft0rt9?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2ZkeG1mOWpmeTB5MDcwN3k2MzNwMW4zIiwib3JnYW5pemF0aW9uSWQiOiJja2ZkeG1mOHlyb3dnMDczNmlycWdxenkxIiwiaWF0IjoxNjAyNDkxMTkxLCJleHAiOjE2MDUwODMxOTF9.wdtrGiWNjjwCWMx7_c5jf55bz0U8yjQ43S1qlH5chSI""},{""featureId"":""ckfjk3ded02760y8bh7iiaa71"",""schemaId"":""ckfe1bjhf0bjl0y7h5vk64k1v"",""title"":""gap"",""value"":""gap"",""color"":""#1CE6FF"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckfjk3ded02760y8bh7iiaa71?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2ZkeG1mOWpmeTB5MDcwN3k2MzNwMW4zIiwib3JnYW5pemF0aW9uSWQiOiJja2ZkeG1mOHlyb3dnMDczNmlycWdxenkxIiwiaWF0IjoxNjAyNDkxMTkxLCJleHAiOjE2MDUwODMxOTF9.wdtrGiWNjjwCWMx7_c5jf55bz0U8yjQ43S1qlH5chSI""}],""classifications"":[]}",yuvkortev@stud.etu.ru,detect_cracks,1600785006000,1601117651000,346.058,7903.0_-214.4.png,-1,-1,,,cracks,[],https://editor.labelbox.com?project=ckfe132m2sn2f0736nanmt6qs&label=ckfe228n900024c63qjk4aydx
ckfe29qtl00034c63y7qhyeci,ckfe0tsof01fs0bs45l4u1f77,https://storage.labelbox.com/ckfdxmf8yrowg0736irqgqzy1%2Fb4b351ef-db70-ec34-f057-d656547bd1db-8703.0_-214.4.png?Expires=1603700791925&KeyName=labelbox-assets-key-1&Signature=gexImlbWNCV6KSn1Qg-IaMTJPGo,"{""objects"":[{""featureId"":""ckfe2601803710y889k0ihvym"",""schemaId"":""ckfe1bjhe0bjj0y7hackf12z7"",""title"":""crack"",""value"":""crack"",""color"":""#FFFF00"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckfe2601803710y889k0ihvym?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2ZkeG1mOWpmeTB5MDcwN3k2MzNwMW4zIiwib3JnYW5pemF0aW9uSWQiOiJja2ZkeG1mOHlyb3dnMDczNmlycWdxenkxIiwiaWF0IjoxNjAyNDkxMTkxLCJleHAiOjE2MDUwODMxOTF9.wdtrGiWNjjwCWMx7_c5jf55bz0U8yjQ43S1qlH5chSI""}],""classifications"":[]}",yuvkortev@stud.etu.ru,detect_cracks,1600785357000,1600785664000,324.998,8703.0_-214.4.png,-1,-1,,,cracks,[],https://editor.labelbox.com?project=ckfe132m2sn2f0736nanmt6qs&label=ckfe29qtl00034c63y7qhyeci
ckfe2epy900044c63n9ubvq20,ckfe0tso400yc0bs4aswl11bf,https://storage.labelbox.com/ckfdxmf8yrowg0736irqgqzy1%2F246ee8aa-accf-a32e-511e-432720ffb2fa-4703.0_-214.4.png?Expires=1603700791925&KeyName=labelbox-assets-key-1&Signature=Iqs81Dn5eSahBcNPn03w_DIgWvM,"{""objects"":[{""featureId"":""ckfe2eees05d30y7hc4yfhp1v"",""schemaId"":""ckfe1bjhe0bjj0y7hackf12z7"",""title"":""crack"",""value"":""crack"",""color"":""#FFFF00"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckfe2eees05d30y7hc4yfhp1v?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2ZkeG1mOWpmeTB5MDcwN3k2MzNwMW4zIiwib3JnYW5pemF0aW9uSWQiOiJja2ZkeG1mOHlyb3dnMDczNmlycWdxenkxIiwiaWF0IjoxNjAyNDkxMTkxLCJleHAiOjE2MDUwODMxOTF9.wdtrGiWNjjwCWMx7_c5jf55bz0U8yjQ43S1qlH5chSI""}],""classifications"":[]}",yuvkortev@stud.etu.ru,detect_cracks,1600785589000,1600785899000,206.955,4703.0_-214.4.png,-1,-1,,,cracks,[],https://editor.labelbox.com?project=ckfe132m2sn2f0736nanmt6qs&label=ckfe2epy900044c63n9ubvq20
ckfe2iz4o00054c63q2ufy98a,ckfe0tso6011w0bs462uo8jbk,https://storage.labelbox.com/ckfdxmf8yrowg0736irqgqzy1%2Fe5d44083-d822-fcfd-f378-b745caa7d4e4-5600.0_-217.7.png?Expires=1603700791925&KeyName=labelbox-assets-key-1&Signature=r39Af3OhxHuNCDSiehkezsaTLCU,"{""objects"":[{""featureId"":""ckfe2g4kf05df0y8hda1ketkn"",""schemaId"":""ckfe1bjhe0bjj0y7hackf12z7"",""title"":""crack"",""value"":""crack"",""color"":""#FFFF00"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckfe2g4kf05df0y8hda1ketkn?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2ZkeG1mOWpmeTB5MDcwN3k2MzNwMW4zIiwib3JnYW5pemF0aW9uSWQiOiJja2ZkeG1mOHlyb3dnMDczNmlycWdxenkxIiwiaWF0IjoxNjAyNDkxMTkxLCJleHAiOjE2MDUwODMxOTF9.wdtrGiWNjjwCWMx7_c5jf55bz0U8yjQ43S1qlH5chSI""},{""featureId"":""ckfe2iing05wx0y8hhytw7ch3"",""schemaId"":""ckfe1bjhf0bjl0y7h5vk64k1v"",""title"":""gap"",""value"":""gap"",""color"":""#1CE6FF"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckfe2iing05wx0y8hhytw7ch3?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2ZkeG1mOWpmeTB5MDcwN3k2MzNwMW4zIiwib3JnYW5pemF0aW9uSWQiOiJja2ZkeG1mOHlyb3dnMDczNmlycWdxenkxIiwiaWF0IjoxNjAyNDkxMTkxLCJleHAiOjE2MDUwODMxOTF9.wdtrGiWNjjwCWMx7_c5jf55bz0U8yjQ43S1qlH5chSI""}],""classifications"":[]}",yuvkortev@stud.etu.ru,detect_cracks,1600785787000,1600786132000,205.23600000000002,5600.0_-217.7.png,-1,-1,,,cracks,[],https://editor.labelbox.com?project=ckfe132m2sn2f0736nanmt6qs&label=ckfe2iz4o00054c63q2ufy98a
ckfe2oduk00064c63qnazscn7,ckfe0tsoa015g0bs46piq1pi2,https://storage.labelbox.com/ckfdxmf8yrowg0736irqgqzy1%2F459981f6-49d9-87e6-f25b-9ad527ebfc82-6400.0_-217.7.png?Expires=1603700791926&KeyName=labelbox-assets-key-1&Signature=ZxCX_RTQDFPzdf-CT0RsO68s8fQ,"{""objects"":[{""featureId"":""ckfe2o7cp08910y889exhdtop"",""schemaId"":""ckfe1bjhe0bjj0y7hackf12z7"",""title"":""crack"",""value"":""crack"",""color"":""#FFFF00"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckfe2o7cp08910y889exhdtop?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2ZkeG1mOWpmeTB5MDcwN3k2MzNwMW4zIiwib3JnYW5pemF0aW9uSWQiOiJja2ZkeG1mOHlyb3dnMDczNmlycWdxenkxIiwiaWF0IjoxNjAyNDkxMTkxLCJleHAiOjE2MDUwODMxOTF9.wdtrGiWNjjwCWMx7_c5jf55bz0U8yjQ43S1qlH5chSI""}],""classifications"":[]}",yuvkortev@stud.etu.ru,detect_cracks,1600786040000,1600786370000,102.092,6400.0_-217.7.png,-1,-1,,,cracks,[],https://editor.labelbox.com?project=ckfe132m2sn2f0736nanmt6qs&label=ckfe2oduk00064c63qnazscn7
ckfe3agoz00074c63wp3ceu4k,ckfe0tsoc01900bs4hr8c5xm5,https://storage.labelbox.com/ckfdxmf8yrowg0736irqgqzy1%2Fb591819e-dc4f-3b29-0a94-9aa71604e755-7200.0_-217.7.png?Expires=1603700791926&KeyName=labelbox-assets-key-1&Signature=c-6lzwaH_LtRWgeV1y3gVp7jfy0,"{""objects"":[{""featureId"":""ckfe3a9ps0ebb0y8h2clw411m"",""schemaId"":""ckfe1bjhe0bjj0y7hackf12z7"",""title"":""crack"",""value"":""crack"",""color"":""#FFFF00"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckfe3a9ps0ebb0y8h2clw411m?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2ZkeG1mOWpmeTB5MDcwN3k2MzNwMW4zIiwib3JnYW5pemF0aW9uSWQiOiJja2ZkeG1mOHlyb3dnMDczNmlycWdxenkxIiwiaWF0IjoxNjAyNDkxMTkxLCJleHAiOjE2MDUwODMxOTF9.wdtrGiWNjjwCWMx7_c5jf55bz0U8yjQ43S1qlH5chSI""}],""classifications"":[]}",yuvkortev@stud.etu.ru,detect_cracks,1600787070000,1600787333000,157.665,7200.0_-217.7.png,-1,-1,,,cracks,[],https://editor.labelbox.com?project=ckfe132m2sn2f0736nanmt6qs&label=ckfe3agoz00074c63wp3ceu4k
